Name                                  ,Distribution                                                                                                                                                                                                            ,Manufacturer                                                       ,Description
Bun                                   ,United States                                                                                                                                                                                                           ,Pearson's Candy Company                                            ,"Caramel, maple or vanilla centers covered with unsalted peanuts and milk chocolate"
Butterfinger                          ,"United States, Canada"                                                                                                                                                                                                 ,Nestlé                                                             ,Honeycombed crunchy peanut butter candy center in milk chocolate
Cadbury Dairy Milk                    ,"United Kingdom, Ireland, Australia, New Zealand, Canada, Pakistan, India, Malaysia, the Philippines"                                                                                                                   ,Cadbury                                                            ,Milk chocolate
Cadbury Fruit & Nut                   ,"United States, Australia, Canada, New Zealand, United kingdom, India"                                                                                                                                                  ,Cadbury                                                            ,Milk chocolate with assorted fruits and nuts
Cadbury Tempo                         ,South Africa                                                                                                                                                                                                            ,Cadbury                                                            ,Shortcake biscuit and caramel covered in Cadbury's dairy milk chocolate
Caramello                             ,"New Zealand, Australia, United States"                                                                                                                                                                                 ,Cadbury                                                            ,"Segmented, break apart bar with caramel center, covered in milk chocolate"
Caramello Koala                       ,"Australia, South Africa"                                                                                                                                                                                               ,Cadbury                                                            ,Koala shaped chocolate with caramel filling
Caramilk                              ,"Canada, Europe, South Africa"                                                                                                                                                                                          ,Cadbury                                                            ,Caramel-filled chocolate bar
Caravan                               ,"Canada, United States"                                                                                                                                                                                                 ,Lowney's Chocolates                                                ,Caramel-filled candy bar
Carlos V                              ,"Mexico, Latin America"                                                                                                                                                                                                 ,Nestlé                                                             ,Milk chocolate
Charleston Chew                       ,"Canada, United States"                                                                                                                                                                                                 ,Tootsie Roll Industries                                            ,"Chocolate-, vanilla- and strawberry-flavored variants"
Cherry Ripe                           ,"New Zealand, Australia"                                                                                                                                                                                                ,Cadbury                                                            ,Cherry and coconut bits in chocolate
Chokito                               ,"New Zealand, Australia, Brazil, Switzerland"                                                                                                                                                                           ,Nestlé                                                             ,Chocolate-covered caramel fudge with crisped rice
Chomp                                 ,"United Kingdom, South Africa, Australia, Zimbabwe, Ireland"                                                                                                                                                            ,Cadbury                                                            ,Caramel and wafer in chocolate
Chunky                                ,United States                                                                                                                                                                                                           ,Nestle                                                             ,Milk chocolate with peanuts and raisins
Clark Bar                             ,United States                                                                                                                                                                                                           ,Boyer                                                              ,Honeycombed peanut butter filling coated with chocolate
Coffee Crisp                          ,Canada                                                                                                                                                                                                                  ,Nestlé                                                             ,Milk chocolate with wafer crisps and coffee flavouring
Coffee Crisp Orange                   ,"Canada, Europe"                                                                                                                                                                                                        ,Nestlé                                                             ,
Cow Chocolate                         ,Israel                                                                                                                                                                                                                  ,Strauss-Elite                                                      ,"Milk chocolate, available not just in bars but also in other candy forms; called Cow Chocolate because of the cow on the packaging; called ""Shokolad Parah"" in Hebrew"
Crachi                                ,Dominican Republic                                                                                                                                                                                                      ,Corte                                                              ,Made with locally produced chocolate from the Dominican Republic and crisped rice
Cri-Cri                               ,Venezuela                                                                                                                                                                                                               ,Nestlé                                                             ,Milk chocolate with crisped rice
Crispy Crunch                         ,Canada                                                                                                                                                                                                                  ,Cadbury                                                            ,Peanut butter and toffee mixture coated in milk chocolate
Crunch                                ,"United States, Worldwide"                                                                                                                                                                                              ,Nestlé                                                             ,Milk chocolate with crisped rice
Crunchie                              ,"New Zealand, United Kingdom, India, Ireland, Canada, Australia, South Africa"                                                                                                                                          ,Cadbury                                                            ,Honeycomb (sponge) toffee covered with chocolate
Crunky                                ,"South Korea, Japan"                                                                                                                                                                                                    ,Lotte                                                              ,Rice crisps covered with chocolate
Cup-o-Gold                            ,United States                                                                                                                                                                                                           ,Adams and Brooks                                                   ,Chocolate cup with a marshmallow center with almonds and coconut
Curly Wurly                           ,"United Kingdom, Ireland, New Zealand, Australia, Netherlands"                                                                                                                                                          ,Cadbury                                                            ,Chocolate-covered caramel braid
DAGOBA Chai chocolate                 ,United States                                                                                                                                                                                                           ,Dagoba Chocolate                                                   ,Painted chocolate bar - chai tea spices in milk chocolate
Daim                                  ,"Sweden, Europe, Middle East"                                                                                                                                                                                           ,Kraft Foods                                                        ,Chocolate over crisp almond toffee
Double Decker                         ,"United Kingdom, Ireland"                                                                                                                                                                                               ,Cadbury                                                            ,"Soft nougat top, with a crisped cereal base, covered in milk chocolate"
Dove Bar                              ,"United States, Australia, Netherlands"                                                                                                                                                                                 ,Mars                                                               ,"Creamy milk and dark chocolate, with added varieties such as fruit and nut; the Mars equivalent to Cadburys Dairy Milk; called Galaxy in the United Kingdom"
Dream                                 ,"Australia, New Zealand"                                                                                                                                                                                                ,Cadbury[1]                                                         ,White chocolate[1]
Drifter                               ,"United Kingdom, Ireland"                                                                                                                                                                                               ,Nestlé                                                             ,Wafers and caramel in milk chocolate
Duncan's                              ,"United Kingdom, Ireland"                                                                                                                                                                                               ,"W & M Duncan and Company, best known as ""Duncan's of Edinburgh""","Milk chocolate bars with various ingredients: mint, toffee, ginger and hazelnut"
Eat-more                              ,Canada                                                                                                                                                                                                                  ,Hershey                                                            ,"Chewy dark toffee, peanuts and chocolate"
Excellence                            ,"Switzerland, Canada"                                                                                                                                                                                                   ,Lindt & Sprüngli                                                   ,"Rare ingredient chocolate bars - sea salt, roasted almonds and chilli dark chocolate"
Five Star Caramel                     ,"United States, India"                                                                                                                                                                                                  ,"Lake Champlain Chocolates, Cadbury"                               ,Caramel with almonds and dark chocolate in milk chocolate
Flake                                 ,"New Zealand, United Kingdom, Ireland, Canada, Australia, South Africa"                                                                                                                                                 ,Cadbury[2]                                                         ,"Crumbly chocolate ""flake"""
Forever Yours                         ,United States                                                                                                                                                                                                           ,Mars                                                               ,Vanilla nougat and caramel in dark chocolate
Freddo                                ,"New Zealand, Australia, United Kingdom, Ireland"                                                                                                                                                                       ,Cadbury                                                            ,Milk chocolate in a frog shape
Fry's Turkish Delight                 ,"Australia, New Zealand, United Kingdom, Ireland"                                                                                                                                                                       ,Cadbury                                                            ,Rosewater jelly in milk chocolate
Fudge                                 ,"New Zealand, United Kingdom, Ireland"                                                                                                                                                                                  ,Cadbury                                                            ,Fudge covered in milk chocolate
Galaxy                                ,"United Kingdom, Ireland, the Isle of Man, the Middle East, Pakistan, India"                                                                                                                                            ,Mars                                                               ,Milk chocolate bar
Galaxy Caramel                        ,"United Kingdom, Ireland, the Isle of Man, the Middle East, Pakistan, India"                                                                                                                                            ,Masterfoods                                                        ,Milk chocolate with a soft caramel filling
Galaxy Ripple                         ,"United Kingdom, Ireland, the Isle of Man, the Middle East, Pakistan, India"                                                                                                                                            ,Masterfoods                                                        ,Folded and coated milk chocolate bar
Glosette                              ,Canada                                                                                                                                                                                                                  ,Hershey (originally Nabisco)                                       ,Milk chocolate covered raisins; also in peanuts and almonds
Golden Rough                          ,Australia                                                                                                                                                                                                               ,Nestlé                                                             ,Compounded chocolate round with coconut
Goobers                               ,United States                                                                                                                                                                                                           ,Nestlé                                                             ,Milk-chocolate covered peanuts
Grand Slam                            ,United States                                                                                                                                                                                                           ,Hershey                                                            ,"Chocolate bar with a multi ingredient middle consisting of nuts, caramel and crisp wafer"
Green and Blacks                      ,United Kingdom                                                                                                                                                                                                          ,Kraft Foods                                                        ,"A variety of organic, flavored, luxury chocolate bars: dark, milk, white, ginger, almond, cherry, spices and butterscotch"
Hail                                  ,United States                                                                                                                                                                                                           ,Hollywood Candy Co.                                                ,Hazelnuts and milk chocolate
Happy Hippo                           ,"Germany, United Kingdom, Ireland, Mainland Europe"                                                                                                                                                                     ,Ferrero SpA                                                        ,"A hippo-shaped wafer with hazelnut, chocolate, and milk-caramel cream filling"
Haviland Thin Mints                   ,United States                                                                                                                                                                                                           ,Necco                                                              ,Peppermint cream filling in dark chocolate
Haviland Wintergreen Patty            ,United States                                                                                                                                                                                                           ,Necco                                                              ,Bright pink wintergreen-flavored cream filling in dark chocolate
Heath bar                             ,United States                                                                                                                                                                                                           ,Hershey                                                            ,Crunchy English-style almond toffee with milk chocolate coating
Hershey Almond Toffee Bar             ,United States                                                                                                                                                                                                           ,Hershey                                                            ,
Hershey bar                           ,"New Zealand, Canada, United States, United Kingdom, Australia, Ireland"                                                                                                                                                ,Hershey                                                            ,Solid milk chocolate
Hershey bar with Almonds              ,"Canada, United States"                                                                                                                                                                                                 ,Hershey                                                            ,Solid milk chocolate with almonds
Hershey's Creamy Caramel              ,United States                                                                                                                                                                                                           ,Hershey                                                            ,
Hershey's Special Dark                ,"United States, New Zealand"                                                                                                                                                                                            ,Hershey                                                            ,Dark chocolate
Holly Bar                             ,Denmark                                                                                                                                                                                                                 ,Toms International                                                 ,"Hazelnuts, nougat, and milk chocolate bar"
Idaho Spud                            ,United States                                                                                                                                                                                                           ,Idaho Candy Company                                                ,Chocolate marshmallow covered with chocolate and coconut
Intense Orange                        ,Switzerland                                                                                                                                                                                                             ,Lindt & Sprüngli                                                   ,Dark chocolate with candied orange rind and almonds
Ivory Mountain                        ,United Kingdom                                                                                                                                                                                                          ,Cadbury                                                            ,Chocolate with macadamia nuts
Jacek                                 ,"Poland, Europe"                                                                                                                                                                                                        ,Wawel                                                              ,
Jersey Milk                           ,Canada                                                                                                                                                                                                                  ,Neilson                                                            ,Creamy solid milk chocolate
Junior Caramels                       ,Canada                                                                                                                                                                                                                  ,Hershey                                                            ,"Small caramel creams in dark chocolate, boxed"
Karl Fazer Milk Chocolate             ,Finland                                                                                                                                                                                                                 ,Fazer                                                              ,Milk chocolate with various fillings
Kinder Kinder Bueno                   ,"Italy, Worldwide"                                                                                                                                                                                                      ,Ferrero SpA                                                        ,Kinder Bueno is a hazelnut cream filled wafer with a chocolate covering.
Kit Kat                               ,"United Kingdom, Worldwide"                                                                                                                                                                                             ,"Nestlé, Hershey in US"                                            ,"Wafers in chocolate (over 100 varieties worldwide, most from Japan)"
Korkunov chocolate bars               ,Russia                                                                                                                                                                                                                  ,A. Korkunov                                                        ,"Milk and dark chocolate bars, plain, or with almonds or hazelnuts"
Krackel                               ,"United States, Canada"                                                                                                                                                                                                 ,Hershey[3]                                                         ,Milk chocolate with crisped rice
Krembanan                             ,Norway                                                                                                                                                                                                                  ,Nidar                                                              ,"Chocolate, gel and banana cream"
Kvikk Lunsj                           ,"Norway, Sweden"                                                                                                                                                                                                        ,Freia                                                              ,"A thickly coated, chocolate wafer, similar to Kit Kat in taste and design"
La Fama                               ,United States                                                                                                                                                                                                           ,Palmer Candy Co.                                                   ,Caramel covered with milk chocolate
Leah Bar                              ,United Kingdom                                                                                                                                                                                                          ,Mars                                                               ,Chocolate with hazelnuts
Lindor                                ,"Switzerland, Europe, Australia, United States, Canada, Japan"                                                                                                                                                          ,Lindt & Sprüngli                                                   ,"Many varieties, typically featuring a hollow chocolate ball with a smooth chocolate filling"
Lion Bar                              ,"United Kingdom, Europe, Middle East, Poland"                                                                                                                                                                           ,Nestlé                                                             ,Wafers and crisped cereal with caramel in milk chocolate
Lion Peanut                           ,"United Kingdom, Europe, Middle East"                                                                                                                                                                                   ,Nestlé                                                             ,"Chocolate-covered nougat, crisps and peanuts"
Lotte's Ghana                         ,"South Korea, Japan"                                                                                                                                                                                                    ,Lotte                                                              ,Milk chocolate with extra cacao
Lunch Bar                             ,South Africa                                                                                                                                                                                                            ,Cadbury's                                                          ,"Milk chocolate with wafer biscuit, caramel, peanuts and crisped rice"
M&S                                   ,United Kingdom                                                                                                                                                                                                          ,Marks & Spencer                                                    ,
Macadamia                             ,Japan                                                                                                                                                                                                                   ,Meiji                                                              ,Macadamia nut coated with milk chocolate
Macadamia Nut                         ,Switzerland                                                                                                                                                                                                             ,Lindt & Sprüngli                                                   ,Milk chocolate with caramelized macadamia nut pieces
Maestro                               ,Saudi Arabia                                                                                                                                                                                                            ,Ülker                                                              ,Chocolate over peanut butter nougat
Malagos                               ,Philippines                                                                                                                                                                                                             ,Malagos Agri-Ventures                                              ,Dark chocolate
Malted Milk                           ,Canada                                                                                                                                                                                                                  ,Neilson                                                            ,"Milk chocolate, caramel, malted milk; lighter, fluffier and longer than Mars bars"
Maracaibo 65                          ,United States                                                                                                                                                                                                           ,Sucré Chocolates                                                   ,Bittersweet chocolate from the rarest Venezuelan cocoa bean
Marathon                              ,United States                                                                                                                                                                                                           ,Mars                                                               ,Twisted caramel in milk chocolate
Marble Chocolate                      ,Japan                                                                                                                                                                                                                   ,Meiji                                                              ,
Mars Bar                              ,United States                                                                                                                                                                                                           ,Mars                                                               ,Vanilla nougat with almonds and milk chocolate
Mars Bar                              ,"United Kingdom, Outside United States"                                                                                                                                                                                 ,Mars                                                               ,Nougat mousse topped with caramel and coated in chocolate
Mars Bar Lava                         ,"Australia,New Zealand"                                                                                                                                                                                                 ,Mars                                                               ,Orange-flavored nougat center
M-Azing                               ,United States                                                                                                                                                                                                           ,Mars                                                               ,Milk chocolate with mini M&M's
Meiji Almond                          ,Japan                                                                                                                                                                                                                   ,Meiji                                                              ,Milk chocolate with almonds in the center
Mekupelet                             ,Israel                                                                                                                                                                                                                  ,Strauss-Elite                                                      ,"Milk chocolate folded over, with thin layers of chocolate separated by air; similar to aerated chocolate but with folds instead of bubbles"
Menthe                                ,United States                                                                                                                                                                                                           ,Sulpice Chocolat                                                   ,Painted chocolate bar - mint essence and cocoa nibs in dark chocolate
Milk Shake                            ,United States                                                                                                                                                                                                           ,Hollywood Candy Co.                                                ,Chocolate nougat and caramel in milk chocolate
Milka                                 ,"Germany, Turkey, United Kingdom, Italy, Austria, Netherlands, Poland, Czech Republic, Spain, Ukraine, Russia"                                                                                                          ,Kraft Foods                                                        ,"Milk chocolate with hazelnut, peanut and almond pastes incorporated"
Milky Bar                             ,"New Zealand, Australia, United Kingdom, India, Ireland, Denmark"                                                                                                                                                       ,Nestlé                                                             ,White chocolate bar
Milky Way                             ,"United States, Ireland, United Kingdom"                                                                                                                                                                                ,Mars                                                               ,Chocolate nougat with caramel in chocolate coating. Pictured are American and British Milky Way candy bars. There is no caramel in the British version.
Milky Way                             ,"New Zealand, Europe, Australia"                                                                                                                                                                                        ,Mars                                                               ,Whipped nougat in chocolate coating
Milky Way Midnight                    ,"United Kingdom, Worldwide"                                                                                                                                                                                             ,Mars                                                               ,Dark chocolate with a vanilla nougat caramel center
Milo Bar                              ,"New Zealand, Australia, South Africa"                                                                                                                                                                                  ,Nestlé                                                             ,
Mint krokant                          ,Sweden                                                                                                                                                                                                                  ,Marabou                                                            ,Mint almond toffee with milk chocolate coating
Mirage                                ,Canada                                                                                                                                                                                                                  ,Nestlé                                                             ,Bubbly milk chocolate
Moka                                  ,United States                                                                                                                                                                                                           ,Sulpice Chocolat                                                   ,Painted chocolate bar - coffee and cocoa nibs in milk chocolate
Moro                                  ,"New Zealand, Ireland, Australia"                                                                                                                                                                                       ,Cadbury                                                            ,Nougat-like chocolate mousse and biscuit topped with caramel and coated in chocolate
Mounds                                ,United States                                                                                                                                                                                                           ,Hershey                                                            ,Sweetened coconut enrobed in dark or milk chocolate; introduced in 1921
Mountain Bar                          ,United States                                                                                                                                                                                                           ,Brown and Haley                                                    ,"Vanilla, cherry, or peanut butter creme filling, covered in chocolate and peanuts, in the shape of Mount Rainier"
Mousse                                ,"Australia, South Africa"                                                                                                                                                                                               ,Cadbury                                                            ,Milk chocolate with a rich soft chocolate filling
Mr. Big                               ,"Canada, Worldwide"                                                                                                                                                                                                     ,Cadbury                                                            ,"Crisped rice, peanuts, and a vanilla fudge center covered in Cadbury milk chocolate"
Mr. Goodbar                           ,United States                                                                                                                                                                                                           ,Hershey[3]                                                         ,Peanuts in granular milk chocolate
Munchies                              ,United Kingdom                                                                                                                                                                                                          ,Nestlé                                                             ,Caramel covered crisp biscuit coated in chocolate
Neapolitan Coconut Slice              ,United States                                                                                                                                                                                                           ,Friesinger's Candies                                               ,Tri-coloured coconut bar - strawberry/vanilla/chocolate
Nestlé Crunch                         ,"United States, India, United Kingdom, Canada, South Africa, Turkey, Brazil"                                                                                                                                            ,Nestlé                                                             ,Chocolate bar with crisped rice
Nestlé Milk Chocolate                 ,"United States, Turkey"                                                                                                                                                                                                 ,Nestlé                                                             ,Solid milk chocolate
Nestlé Triple Decker bar              ,United States                                                                                                                                                                                                           ,Nestlé                                                             ,"Three-layer bar consisting of a bottom layer of milk chocolate, middle layer of white chocolate and top layer of dark chocolate; approx. 2.5"" square"
Nestlé White                          ,"United States, Denmark"                                                                                                                                                                                                ,Nestlé                                                             ,White chocolate
Nickel Lunch                          ,United States                                                                                                                                                                                                           ,                                                                   ,Peanuts in milk chocolate
Noisette                              ,United States                                                                                                                                                                                                           ,Sulpice Chocolat                                                   ,Painted chocolate bar - caramelised hazelnuts in milk chocolate
Nougatti                              ,"Belgium, worldwide"                                                                                                                                                                                                    ,Côte d'Or                                                          ,Chewy and nutty nougat made with chopped hazelnuts covered in Côte d'Or milk chocolate
Nut Goodie                            ,United States                                                                                                                                                                                                           ,Pearson's Candy Company                                            ,"Chocolate, peanuts and maple"
Nut Lovers                            ,United States                                                                                                                                                                                                           ,Hershey                                                            ,
NutRageous                            ,"United States, United Kingdom, Ireland"                                                                                                                                                                                ,Hershey                                                            ,"Peanut butter, caramel, and peanuts in milk chocolate"
Nuts                                  ,"United Kingdom, Europe"                                                                                                                                                                                                ,Nestlé                                                             ,Nougat and hazelnuts covered with chocolate
Oh Henry!                             ,"United States, Canada"                                                                                                                                                                                                 ,"Nestlé, Hershey in Canada"                                        ,Caramel fudge center with peanuts and milk chocolate coating
Old Faithful                          ,United States                                                                                                                                                                                                           ,Idaho Candy Company                                                ,"Marshmallow center, covered with chocolate and whole peanuts"
Pal-o-mine                            ,Canada                                                                                                                                                                                                                  ,Ganong Bros. Limited                                               ,Soft fudge center with peanuts covered in dark chocolate
PB Max                                ,United States                                                                                                                                                                                                           ,Mars                                                               ,"Creamy peanut butter and oats on top of a square-shaped whole grain cookie, enrobed in milk chocolate"
Peanut Slab                           ,"New Zealand, Australia"                                                                                                                                                                                                ,Whittaker's                                                        ,Peanut infused chocolate slab
Penguin                               ,"United Kingdom, Ireland"                                                                                                                                                                                               ,McVitie's                                                          ,Milk-chocolate covered biscuit filled with chocolate cream
Pep                                   ,Canada                                                                                                                                                                                                                  ,Neilson                                                            ,Dark chocolate with peppermint cream filling
Peppermint Crisp                      ,"Australia, South Africa"                                                                                                                                                                                               ,Nestlé                                                             ,"Peppermint ""cracknel"" in milk chocolate"
Perky Nana                            ,New Zealand                                                                                                                                                                                                             ,Cadbury                                                            ,Banana flavored chew bar covered in chocolate
Pesek Zman                            ,Israel                                                                                                                                                                                                                  ,Strauss-Elite                                                      ,chocolate coated hazelnut cream filled wafer
Picnic                                ,"New Zealand, Australia, United Kingdom, Ireland, Ukraine"                                                                                                                                                              ,Cadbury                                                            ,"Peanuts, caramel, wafers and crisped rice in milk chocolate"
Pistache                              ,United States                                                                                                                                                                                                           ,Sulpice Chocolat                                                   ,"Painted chocolate bar - pistachios, cardamom and orange in dark chocolate"
Pistachio and Rose Petal Chocolate Bar,United States                                                                                                                                                                                                           ,Sucré Chocolates                                                   ,Milk chocolate studded with Sicilian pistachios and candied rose petals
Polly Waffle                          ,Australia                                                                                                                                                                                                               ,Nestlé                                                             ,Marshmallow-filled wafers in milk chocolate
Powerhouse                            ,United States                                                                                                                                                                                                           ,Peter Paul                                                         ,"Peanuts, caramel and nougat in milk chocolate"
Prince                                ,Malaysia                                                                                                                                                                                                                ,Danone                                                             ,Two chocolate-flavored soda cracker wafers in chocolate-flavored coating
Prince Polo                           ,"Poland, Iceland"                                                                                                                                                                                                       ,Kraft                                                              ,Chocolate-covered wafers
Princessa                             ,Poland                                                                                                                                                                                                                  ,Nestlé                                                             ,Nestlé imitation of Prince Polo; now equally popular
Ragusa                                ,Switzerland                                                                                                                                                                                                             ,Chocolats Camille Bloch SA                                         ,The finest[citation needed] Swiss praline chocolate with whole hazelnuts
Raider                                ,"Switzerland, Europe (formerly)"                                                                                                                                                                                        ,                                                                   ,"Twix was called Raider in Austria, Belgium, Denmark, Finland, France, Germany, Greece, Italy, Luxembourg, Netherlands, Norway, Poland, Portugal, Spain, Sweden, Switzerland and Turkey for many years before its name was changed in 1991 (2000 in Denmark, Finland, Norway, Sweden and Turkey) to match the international brand name."
Rally bar                             ,United States                                                                                                                                                                                                           ,Hershey                                                            ,"Similar to Baby Ruth - nougat, caramel and peanuts covered in milk chocolate"
Reese's Crispy Crunchy Bar            ,United States                                                                                                                                                                                                           ,Hershey                                                            ,"Peanut butter crisp candy with peanut butter and chopped peanuts, in milk chocolate"
Reese's Fast Break                    ,United States                                                                                                                                                                                                           ,Hershey                                                            ,Peanut butter and nougat filling in milk chocolate
Reese's Sticks                        ,"United States, Worldwide"                                                                                                                                                                                              ,Hershey                                                            ,Wafers filled with peanut butter and covered in milk chocolate
Ritter Sport                          ,"Austria, Canada, Denmark, Germany, Italy, the Netherlands, United Kingdom and Sweden"                                                                                                                                  ,Ritter Sport                                                       ,Chocolate bar with various fillings
Rocky Road                            ,United States                                                                                                                                                                                                           ,Annabelle Candy Company                                            ,Marshmallow topped with cashews and covered with chocolate
Rolo                                  ,"United Kingdom, Canada, United States, Australia, The Netherlands, New Zealand"                                                                                                                                        ,"Nestlé, Hershey in the US"                                        ,
Safari                                ,"India, Saudi Arabia, Lebanon, Egypt and the Philippines"                                                                                                                                                               ,Gandour                                                            ,Chocolate coated on caramel covered wafer sandwich
Salted Pretzel                        ,United States                                                                                                                                                                                                           ,Sucré Chocolates                                                   ,Swiss milk chocolate with salted pretzel twists
Sarris Chocolate Covered Pretzels     ,United States                                                                                                                                                                                                           ,Sarris Candies                                                     ,Chocolate covered pretzels
Sasha Chocolate Goldleaf              ,South Korea                                                                                                                                                                                                             ,Lotte                                                              ,Chocolate with real gold leaf layering
Skor                                  ,"United States, Canada"                                                                                                                                                                                                 ,Hershey                                                            ,Crunchy butter toffee in milk chocolate
Sky Bar                               ,United States                                                                                                                                                                                                           ,Necco                                                              ,"Four sections: caramel, vanilla, peanut butter and fudge fillings, milk chocolate coating"
Smooth Sailin'                        ,United States                                                                                                                                                                                                           ,Hollywood Candy Co.                                                ,"Nougat with walnut pieces, covered in dark chocolate"
S'mores                               ,"United States, Canada"                                                                                                                                                                                                 ,Hershey                                                            ,
Snickers                              ,"United States, Worldwide"                                                                                                                                                                                              ,Mars                                                               ,Peanut butter nougat with caramel and peanuts in milk chocolate
Spira                                 ,United Kingdom                                                                                                                                                                                                          ,Cadbury                                                            ,Two milk chocolate 'twists' with holes running through the middle
Starbar                               ,"United Kingdom, Ireland"                                                                                                                                                                                               ,Cadbury                                                            ,"Creamy peanut butter, light rice crisps and caramel covered with milk chocolate"
Sublime                               ,Peru                                                                                                                                                                                                                    ,D'Onofrio                                                          ,Milk chocolate with peanuts
Sweet Marie                           ,Canada                                                                                                                                                                                                                  ,Cadbury (originally Willard's)                                     ,Fudge center with peanuts and crisped rice covered in chocolate
Swirled Caramel & Salted Peanut       ,United States                                                                                                                                                                                                           ,Sucré Chocolates                                                   ,Double cream Swiss milk chocolate swirled with vanilla caramel and sprinkled with salted peanuts
Take 5                                ,United States                                                                                                                                                                                                           ,Hershey                                                            ,Layer of caramel and peanut butter over pretzels and peanuts in milk chocolate
Tango                                 ,Azerbaijan                                                                                                                                                                                                              ,Ulduz                                                              ,Chocolate bar with almonds
Tim Tam                               ,"New Zealand, Australia, United States, some Southeast Asian countries"                                                                                                                                                 ,Arnott's                                                           ,"Chocolate covered biscuit/cookie filled with chocolate cream and other ingredients. There are five varieties: milk chocolate, dark chocolate, white chocolate, caramel, and double-coated."
Time Out                              ,"New Zealand, Australia, United Kingdom, Ireland"                                                                                                                                                                       ,Cadbury                                                            ,"Wafers with a flake center, covered in milk chocolate"
Tin Larin                             ,"Mexico, Latin America"                                                                                                                                                                                                 ,Nestlé                                                             ,Wafers and peanut butter in chocolate
